time,T0,T1,T2,T3,H0
0.252084,19.5,-2.86,7.36,17.51,0.0
0.512416,17.88,-15.23,-7.23,17.51,0.0
0.77604,17.21,-10.26,-3.42,17.59,0.0
1.039936,17.55,-8.38,-0.58,17.51,0.0
1.30212,18.87,-9.85,-0.69,17.51,0.0
1.564296,19.19,-16.93,-9.04,17.59,0.0
1.828496,17.88,-16.24,-9.58,17.51,0.0
2.092544,17.55,-12.26,-6.0,17.51,0.0
2.356936,16.87,-9.58,-1.76,17.51,0.0
2.618128,18.54,-8.78,-0.05,17.59,0.0
2.880592,18.87,-16.24,-8.25,17.59,0.0
3.145024,18.21,-16.93,-9.44,17.59,0.0
3.409036,19.19,-14.1,-7.87,17.51,0.0
3.672056,17.21,-8.38,-1.01,17.51,0.0
3.932952,18.87,-10.54,-1.33,17.51,0.0
4.196652,19.5,-15.39,-7.36,17.51,0.0
4.460704,17.55,-17.29,-9.71,17.59,0.0
4.724072,18.21,-12.71,-6.73,17.59,0.0
4.987352,17.21,-8.51,-0.47,17.51,0.0
5.2482,18.54,-12.11,-2.53,17.59,0.0
5.512088,18.21,-15.39,-7.74,17.59,0.0
5.775656,17.55,-16.24,-9.85,17.59,0.0
6.040008,18.54,-12.86,-6.86,17.59,0.0
6.304712,17.21,-9.99,-2.64,17.51,0.0
6.566068,18.21,-8.0,0.78,17.51,0.0
6.826544,19.19,-18.2,-9.85,17.59,0.0
7.091096,17.55,-15.73,-9.31,17.51,0.0
7.35436,17.88,-10.12,-3.2,17.51,0.0
7.618336,17.55,-8.78,-0.47,17.51,0.0
7.87972,19.5,-12.26,-2.97,17.59,0.0
8.144208,18.54,-14.58,-7.11,17.59,0.0
8.407776,18.87,-17.11,-9.99,17.59,0.0
8.671104,17.55,-12.11,-6.0,17.51,0.0
8.934736,17.21,-8.38,-0.69,17.51,0.0
9.196288,18.87,-9.85,-0.69,17.59,0.0
9.45872,18.54,-17.29,-9.04,17.59,0.0
9.722996,19.19,-16.07,-9.71,17.51,0.0
9.986068,17.88,-10.12,-3.31,17.51,0.0
10.249476,17.21,-8.13,0.05,17.51,0.0
10.509364,19.19,-15.56,-6.86,17.51,0.0
10.773504,18.87,-16.41,-9.31,17.51,0.0
11.036772,17.88,-13.32,-7.36,17.51,0.0
11.3004,17.88,-8.91,-1.44,17.51,0.0
11.561424,19.19,-9.71,-0.9,17.59,0.0
11.823104,19.19,-18.2,-10.12,17.51,0.0
12.089328,18.54,-16.24,-8.91,17.59,0.0
12.35358,17.55,-14.58,-8.13,17.51,0.0
12.61736,17.88,-9.85,-2.42,17.42,0.0
12.879496,18.21,-7.61,1.08,17.59,0.0
13.139276,19.82,-18.2,-10.12,17.51,0.0
13.405928,19.19,-14.9,-7.87,17.51,0.0
13.669312,17.88,-14.42,-8.13,17.59,0.0
13.933192,17.88,-9.31,-2.09,17.51,0.0
14.194872,17.88,-8.13,0.67,17.59,0.0
14.455068,19.19,-18.57,-10.4,17.51,0.0
14.72122,18.87,-16.07,-9.04,17.51,0.0
14.985208,17.55,-14.1,-8.0,17.51,0.0
15.249336,17.21,-9.58,-2.42,17.59,0.0
15.511144,18.54,-7.74,1.08,17.51,0.0
15.770736,18.54,-19.15,-10.82,17.59,0.0
16.037536,18.54,-15.23,-8.38,17.59,0.0
16.302236,18.21,-15.06,-8.65,17.51,0.0
16.566608,17.21,-11.68,-5.88,17.59,0.0
16.830476,17.21,-8.51,-0.79,17.51,0.0
17.091512,19.19,-10.82,-1.54,17.51,0.0
17.35532,19.82,-15.39,-7.36,17.59,0.0
17.619616,18.21,-16.41,-9.58,17.51,0.0
17.883304,17.21,-13.78,-7.61,17.59,0.0
18.146288,17.55,-8.13,-0.58,17.51,0.0
18.408104,19.19,-9.31,-0.26,17.59,0.0
18.670024,18.87,-17.83,-9.31,17.51,0.0
18.933376,16.87,-15.39,-9.04,17.51,0.0
19.197416,17.88,-10.82,-7.11,17.51,0.0
19.460928,17.88,-8.0,-2.42,17.51,0.0
19.723412,18.21,-11.1,-2.42,17.51,75.0
19.988888,18.87,-13.32,-4.81,17.51,75.0
20.254584,18.87,-13.47,-6.0,17.68,75.0
20.520912,19.19,-13.16,-5.4,17.51,75.0
20.786648,19.19,-14.42,-6.73,17.59,75.0
21.052392,18.87,-14.42,-7.36,17.59,75.0
21.318384,19.5,-15.06,-7.74,17.51,75.0
21.584416,17.88,-14.74,-7.61,17.51,75.0
21.849356,18.54,-15.39,-8.78,17.51,75.0
22.115524,17.88,-15.06,-8.25,17.51,75.0
22.38204,17.55,-14.9,-8.25,17.51,75.0
22.648368,17.88,-14.26,-8.0,17.51,75.0
22.914816,16.87,-13.94,-7.87,17.51,75.0
23.18016,17.88,-13.47,-7.11,17.51,75.0
23.444832,17.55,-9.85,-2.53,17.51,75.0
23.708916,17.55,-8.65,-0.69,17.51,75.0
23.97318,18.87,-8.51,0.05,17.51,75.0
24.235768,19.19,-14.42,-6.12,17.51,75.0
24.50128,18.54,-14.1,-6.61,17.59,75.0
24.767344,18.87,-14.26,-6.49,17.59,75.0
25.033672,19.19,-13.78,-6.61,17.51,75.0
25.299056,19.19,-15.56,-8.0,17.59,75.0
25.565896,18.87,-14.9,-7.23,17.51,75.0
25.831724,19.19,-15.39,-8.65,17.51,75.0
26.09786,18.21,-15.06,-8.38,17.51,75.0
26.36424,18.21,-15.06,-8.13,17.59,75.0
26.630608,18.54,-14.26,-7.61,17.51,75.0
26.896224,18.21,-15.39,-8.65,17.59,75.0
27.162816,18.87,-14.74,-8.38,17.59,75.0
27.428832,18.54,-14.42,-8.13,17.59,75.0
27.695056,18.87,-14.58,-7.74,17.59,75.0
27.960792,19.19,-13.78,-7.23,17.51,75.0
28.226104,18.87,-11.24,-4.57,17.42,75.0
28.491624,17.88,-10.26,-2.86,17.51,75.0
28.758104,18.21,-10.82,-3.42,17.59,75.0
29.024648,18.54,-11.24,-3.76,17.51,75.0
29.290192,17.88,-9.99,-2.31,17.51,75.0
29.553772,19.19,-8.25,-0.05,17.51,75.0
29.81806,19.5,-9.58,-0.58,17.51,75.0
30.082816,20.44,-13.32,-4.69,17.59,75.0
30.349664,20.13,-11.68,-3.54,17.51,75.0
30.615776,19.82,-12.26,-4.57,17.59,75.0
30.882176,21.05,-11.97,-4.46,17.51,75.0
31.14788,20.13,-13.16,-5.52,17.51,75.0
31.414104,20.44,-13.16,-5.64,17.51,75.0
31.680368,19.5,-13.63,-6.24,17.59,75.0
31.947084,20.44,-12.71,-5.28,17.51,75.0
32.213284,20.13,-13.32,-5.76,17.51,75.0
32.479436,20.13,-13.47,-6.12,17.51,75.0
32.745168,19.82,-14.58,-7.61,17.59,75.0
33.01132,20.44,-14.74,-7.61,17.51,75.0
33.276824,20.13,-15.06,-8.51,17.59,75.0
33.543696,19.82,-14.26,-7.61,17.51,75.0
33.809384,20.13,-14.58,-8.13,17.51,75.0
34.07564,20.44,-14.26,-7.87,17.51,75.0
34.341712,19.82,-13.94,-7.74,17.51,75.0
34.607224,19.19,-13.32,-7.49,17.59,75.0
34.873016,18.54,-12.26,-6.36,17.51,75.0
35.139376,19.82,-12.86,-6.12,17.59,75.0
35.405924,19.19,-12.86,-6.49,17.51,75.0
35.671912,19.82,-11.53,-5.4,17.51,75.0
35.938064,20.13,-10.68,-4.11,17.59,75.0
36.204416,18.54,-10.82,-3.88,17.59,75.0
36.471424,20.13,-12.26,-5.76,17.51,75.0
36.737728,20.74,-11.24,-5.04,17.51,75.0
37.00384,19.5,-10.68,-3.54,17.59,75.0
37.270888,19.19,-12.11,-5.4,17.51,75.0
37.536328,17.88,-9.85,-2.42,17.42,75.0
37.800528,19.5,-8.25,-0.58,17.51,75.0
38.065288,21.34,-8.25,0.36,17.59,75.0
38.328288,20.13,-13.01,-4.11,17.51,75.0
38.593732,20.44,-13.01,-5.52,17.51,75.0
38.860288,21.34,-11.97,-4.69,17.59,75.0
39.126,21.93,-13.47,-6.0,17.59,75.0
39.392452,22.51,-12.86,-5.64,17.51,75.0
39.658928,22.23,-13.01,-6.0,17.51,75.0
39.925696,21.64,-12.41,-5.04,17.51,75.0
40.191632,21.64,-13.32,-6.0,17.68,75.0
40.458544,21.05,-12.71,-5.28,17.59,75.0
40.72496,21.93,-12.71,-5.52,17.51,75.0
40.99076,21.93,-13.47,-6.73,17.59,75.0
41.256528,21.34,-13.47,-6.86,17.59,75.0
41.522656,21.05,-14.26,-7.23,17.51,75.0
41.788816,21.64,-13.94,-7.23,17.59,75.0
42.054848,20.74,-14.1,-7.87,17.68,75.0
42.320792,21.34,-14.42,-8.0,17.51,75.0
