time,T0,T1,T2,T3,H0
1.037268,31.76,-4.46,2.69,30.63,0.0
2.069252,31.32,-5.88,0.36,30.63,0.0
3.104276,31.54,-5.52,1.08,30.72,0.0
4.136916,31.32,-5.4,1.18,30.72,0.0
5.170048,31.76,-10.26,-4.81,30.72,200.0
6.200736,31.32,-11.53,-6.49,30.91,200.0
7.231236,31.32,-12.26,-6.86,30.82,200.0
8.26568,32.42,-10.96,-5.76,30.72,200.0
9.29918,32.63,-10.26,-5.28,30.82,200.0
10.3359,33.28,-7.61,-1.65,30.72,200.0
11.358028,33.91,-10.26,-4.92,30.72,200.0
12.390944,34.73,-9.58,-4.92,30.82,200.0
13.416412,34.94,-7.11,-1.33,30.82,200.0
14.43706,35.95,-8.25,-2.86,30.82,200.0
15.465864,36.93,-6.61,-1.01,30.82,200.0
16.489592,37.7,-8.91,-5.16,30.91,200.0
17.511124,38.65,-6.73,-2.2,30.82,200.0
18.538228,39.94,-7.74,-4.46,30.82,200.0
19.561296,40.48,-4.69,0.05,31.0,200.0
20.582416,41.19,-4.92,-0.9,30.91,200.0
21.605828,42.59,-4.92,-1.98,31.1,200.0
22.628408,43.45,-2.86,1.59,31.0,200.0
23.646812,43.79,-3.31,0.36,31.0,200.0
24.663684,45.12,-3.09,0.05,31.0,200.0
25.68408,46.42,-3.65,-1.33,31.0,200.0
26.707708,47.22,-0.37,3.09,31.0,200.0
27.725836,47.85,-0.69,3.09,31.0,200.0
28.745792,48.78,-1.01,1.49,31.0,200.0
29.760968,50.01,-0.47,2.19,31.0,200.0
30.779,51.36,-0.9,0.78,31.0,200.0
31.798748,51.95,0.57,2.19,31.19,200.0
32.807732,52.68,1.69,4.06,31.0,200.0
33.821264,53.55,2.49,5.02,31.0,200.0
34.836352,54.55,3.67,5.69,30.91,200.0
35.849164,55.26,3.09,4.93,31.0,200.0
36.863568,56.39,3.38,4.74,31.1,200.0
37.87364,57.08,3.58,4.16,31.1,200.0
38.8843,58.18,5.5,7.46,31.1,200.0
39.895416,58.86,5.12,6.16,31.19,200.0
40.90562,59.67,4.26,4.93,31.19,200.0
41.915452,60.88,6.99,8.55,31.19,200.0
42.929132,61.54,7.73,9.1,31.56,200.0
43.93746,62.46,5.87,6.06,31.38,200.0
44.950152,62.99,7.55,8.28,31.38,200.0
45.963032,63.77,8.65,9.91,31.47,200.0
46.970968,64.94,7.92,7.73,31.47,200.0
47.977564,65.46,10.09,10.98,31.56,200.0
49.009628,66.23,10.27,11.16,31.56,200.0
50.036472,67.12,9.82,9.55,31.75,200.0
51.046856,67.51,10.0,9.37,31.66,200.0
52.066588,68.52,10.62,9.73,31.56,200.0
53.088132,69.16,12.74,13.18,31.66,200.0
54.113744,70.17,10.98,10.09,31.85,200.0
55.143104,71.43,11.95,10.98,31.94,200.0
56.168784,71.68,13.96,14.31,31.94,200.0
57.193408,72.68,12.39,10.8,32.03,200.0
58.225296,73.05,12.92,11.42,32.03,200.0
59.254384,73.68,14.22,13.44,32.22,200.0
60.283128,74.18,15.26,15.01,32.13,200.0
61.30972,75.3,14.75,13.53,32.22,200.0
62.338688,75.68,14.48,12.74,32.32,200.0
63.366552,76.55,16.22,15.35,32.32,200.0
64.397136,77.3,16.65,15.96,32.41,200.0
65.42488,78.05,16.73,15.44,32.41,200.0
66.45188,78.8,16.22,14.14,32.51,200.0
67.479792,79.17,17.77,16.47,32.51,200.0
68.500568,79.67,16.99,14.92,32.6,200.0
69.529208,80.43,18.2,16.65,32.7,200.0
70.561196,81.18,18.45,16.82,32.7,200.0
71.589944,81.68,19.57,18.28,32.79,200.0
72.618424,82.44,19.49,17.77,32.79,200.0
73.643492,82.94,19.06,16.39,32.79,200.0
74.673468,83.45,20.26,18.45,32.79,200.0
75.705236,84.21,20.52,18.71,32.89,200.0
76.735188,84.59,21.47,19.83,32.89,200.0
77.764572,85.6,21.47,19.75,32.98,200.0
78.794272,86.12,21.38,18.71,33.18,200.0
79.820896,86.37,21.73,19.4,33.18,200.0
80.84812,87.27,23.12,21.3,33.27,200.0
81.875936,87.78,22.42,19.57,33.18,200.0
82.903688,88.17,21.99,18.88,33.37,200.0
83.931664,88.95,23.73,21.64,33.46,200.0
84.962056,89.34,24.6,22.42,33.37,200.0
85.993584,89.99,24.96,22.94,33.37,200.0
87.025048,90.38,24.69,22.51,33.37,200.0
88.05646,91.04,24.69,21.82,33.56,200.0
89.08766,91.57,24.96,21.73,33.66,200.0
90.115836,91.96,24.34,20.78,33.66,200.0
91.146808,92.5,25.22,21.73,33.75,200.0
92.177764,92.76,25.75,22.86,33.75,200.0
93.208648,93.43,26.37,23.73,33.85,200.0
94.238644,94.64,27.26,24.6,33.95,200.0
95.270652,94.51,27.62,25.04,33.95,200.0
96.302116,94.78,27.35,24.69,33.95,200.0
97.332852,95.46,27.35,23.9,34.04,195.0
98.362468,95.87,27.08,23.21,34.14,191.0
99.387236,96.41,28.8,26.1,34.14,185.0
100.415124,96.69,27.98,24.52,34.24,182.0
101.4443,97.38,27.8,23.73,34.33,175.0
102.470056,97.38,29.25,26.28,34.33,175.0
103.498608,98.08,29.71,26.91,34.33,168.0
104.526364,98.36,28.43,24.25,34.43,165.0
105.555848,98.78,28.71,24.43,34.33,160.0
106.582648,98.92,30.45,27.62,34.43,158.0
107.61226,99.48,30.17,26.99,34.63,152.0
108.640608,99.34,29.16,24.96,34.53,153.0
109.66882,99.62,29.53,25.31,34.63,150.0
110.69892,99.77,30.08,26.64,34.73,148.0
111.726408,100.05,31.0,27.98,34.82,145.0
112.727824,100.62,30.91,27.8,34.73,138.0
113.765512,100.19,29.71,25.22,34.82,142.0
114.802256,100.48,29.8,25.4,34.82,139.0
115.80528,100.48,31.0,27.44,34.92,138.0
116.842804,100.48,31.19,27.71,34.92,138.0
117.876204,100.48,30.45,26.99,35.02,137.0
118.878096,100.48,29.8,25.75,34.92,137.0
119.878536,100.48,29.53,25.04,35.02,136.0
120.881836,100.62,30.35,26.19,35.12,134.0
121.8819,100.91,30.63,26.73,35.12,131.0
122.917536,100.77,31.47,28.43,35.22,131.0
123.9509,100.77,31.66,28.61,35.22,131.0
124.985404,100.77,31.19,28.07,35.22,130.0
126.021284,100.62,30.17,26.37,35.32,131.0
127.057152,100.62,29.16,24.6,35.32,131.0
128.057224,100.34,29.34,25.04,35.22,133.0
129.058668,100.48,30.26,26.1,35.51,131.0
130.096592,100.48,31.85,28.89,35.42,130.0
131.098504,100.48,31.0,27.8,35.32,130.0
132.100512,100.19,29.99,26.19,35.61,132.0
133.137436,100.05,28.98,24.52,35.51,133.0
134.139684,100.19,30.54,26.73,35.51,131.0
135.175452,100.05,31.19,28.34,35.61,132.0
136.212312,99.91,30.35,27.17,35.61,133.0
137.237044,99.91,29.43,25.31,35.71,132.0
138.262216,99.62,30.45,26.99,35.71,135.0
139.291284,99.62,30.82,27.62,35.71,134.0
140.319112,99.91,29.62,25.66,35.81,131.0
141.346756,99.48,28.8,24.43,35.81,135.0
142.376684,99.34,29.71,26.28,35.81,136.0
143.403792,99.2,30.82,27.8,35.81,137.0
144.433232,99.34,29.53,25.75,36.01,135.0
145.461912,99.2,28.98,24.87,36.01,136.0
146.491572,98.92,29.43,25.48,35.91,138.0
147.521208,98.92,29.8,26.55,36.01,138.0
148.553124,98.92,29.8,26.46,36.01,138.0
149.584208,98.78,30.17,26.99,36.11,139.0
150.609476,98.78,28.52,24.17,36.01,138.0
151.636672,98.64,29.53,26.19,36.11,139.0
152.663484,98.78,30.35,27.35,36.01,137.0
153.690792,98.64,28.61,24.43,36.21,138.0
154.7184,98.5,29.16,25.48,36.21,140.0
155.74824,98.36,29.62,26.55,36.21,141.0
156.776948,98.36,29.99,27.08,36.31,140.0
157.806368,98.5,28.98,25.13,36.31,139.0
158.83556,98.36,28.43,24.34,36.31,140.0
159.864032,98.22,29.43,26.1,36.31,141.0
160.89076,98.36,30.08,27.08,36.31,139.0
161.920992,98.22,28.98,25.31,36.31,140.0
162.950184,98.22,28.43,24.34,36.41,140.0
163.978672,98.22,28.98,25.48,36.31,139.0
165.00876,98.08,29.34,26.37,36.31,140.0
166.03792,97.94,29.89,27.17,36.62,142.0
167.063496,97.8,27.8,23.73,36.41,143.0
168.08962,97.8,29.71,26.82,36.41,142.0
169.115968,98.08,28.71,25.04,36.51,139.0
170.145072,97.8,27.98,23.99,36.62,142.0
171.174336,97.94,29.07,25.57,36.62,140.0
172.202768,97.94,29.62,26.64,36.62,140.0
173.23208,97.94,28.98,25.66,36.62,139.0
174.262104,97.94,28.52,24.87,36.62,139.0
175.2906,97.8,27.98,23.99,36.62,140.0
176.320388,97.66,28.98,25.84,36.62,141.0
177.349176,97.66,29.53,26.55,36.62,141.0
178.378296,97.8,28.71,25.22,36.62,139.0
179.407216,97.8,28.07,24.25,36.82,139.0
180.437256,97.52,28.25,24.52,36.72,142.0
181.46644,97.52,29.07,25.93,36.82,141.0
182.494448,97.52,29.16,26.37,36.82,141.0
183.520328,97.52,27.53,23.55,36.82,141.0
184.547844,97.38,29.07,26.02,36.72,142.0
185.576332,97.38,29.34,26.46,36.92,142.0
186.604872,97.52,28.07,24.34,36.92,140.0
187.634068,97.38,27.71,23.9,36.92,141.0
188.658668,97.38,29.71,26.99,36.92,141.0
189.6842,97.1,27.62,23.64,36.92,144.0
190.710612,97.38,28.98,25.84,36.82,141.0
191.739448,97.24,29.43,26.46,36.92,142.0
192.767532,97.38,27.98,24.17,37.02,140.0
193.79304,97.38,28.61,25.48,37.12,140.0
194.819612,97.38,28.98,26.02,37.02,140.0
195.850292,97.38,28.52,24.96,37.02,140.0
196.880028,97.1,27.89,24.08,37.12,142.0
197.905532,97.1,28.98,25.93,37.02,142.0
198.93398,97.24,29.07,26.28,37.02,140.0
199.963108,97.38,28.16,24.43,37.33,139.0
200.988924,97.24,28.61,25.22,37.22,140.0
202.016856,97.24,29.16,26.28,37.12,140.0
203.043104,97.1,27.89,23.9,37.12,141.0
204.067168,97.1,28.89,26.02,37.22,141.0
205.094492,97.1,28.43,25.04,37.22,140.0
206.122652,97.1,27.71,23.82,37.12,140.0
207.145788,97.1,29.71,26.91,37.22,140.0
208.1703,97.1,27.17,23.21,37.22,140.0
209.193232,97.1,29.53,26.73,37.33,139.0
210.219052,97.1,27.35,23.47,37.22,139.0
211.243588,97.24,29.43,26.55,37.33,138.0
212.271228,96.97,28.07,24.34,37.43,140.0
213.297868,96.97,27.89,24.08,37.33,140.0
214.325728,96.97,28.98,26.1,37.33,140.0
215.354032,97.24,28.43,25.04,37.43,137.0
216.380044,96.83,27.17,23.21,37.33,141.0
217.402452,97.1,28.8,25.57,37.33,138.0
218.430112,96.83,27.62,23.64,37.53,140.0
219.45854,97.1,28.52,25.31,37.43,137.0
220.483348,97.1,28.34,24.96,37.53,137.0
221.508932,96.83,27.62,23.64,37.43,140.0
222.536628,96.97,28.8,25.93,37.53,138.0
223.566404,96.97,28.98,26.28,37.53,138.0
224.595664,96.83,28.07,24.52,37.53,139.0
225.624704,96.69,27.53,23.55,37.53,140.0
226.653832,96.55,28.25,24.96,37.53,142.0
227.683788,96.69,28.52,25.48,37.53,140.0
228.714368,96.83,28.61,25.66,37.63,139.0
229.74308,96.69,28.07,24.69,37.63,140.0
230.7723,96.83,27.89,24.08,37.63,138.0
231.801496,96.69,27.35,23.55,37.63,139.0
232.829988,96.55,28.43,25.31,37.63,141.0
