time,T0,T1,T2,T3,H0
1534.627032,37.7,-1.65,3.77,34.04,0.0
1533.597944,37.32,-4.11,0.98,34.14,0.0
1534.627032,37.7,-1.65,3.77,34.04,0.0
1.037252,37.7,0.78,7.73,34.24,0.0
2.060028,38.27,-4.11,1.89,34.24,0.0
3.088772,38.46,-3.31,1.59,34.33,0.0
4.119524,37.89,-1.98,2.89,34.33,0.0
5.154,38.27,-8.51,-4.81,34.33,200.0
6.17608,38.08,-5.76,-0.58,34.33,200.0
7.202484,38.46,-8.13,-4.22,34.43,200.0
8.22588,38.65,-5.28,-0.16,34.43,200.0
9.25128,39.39,-7.36,-3.42,34.43,200.0
10.274052,39.57,-4.92,-0.26,34.43,200.0
11.298392,40.66,-6.61,-3.2,34.53,200.0
12.323976,41.19,-4.92,-0.9,34.53,200.0
13.347576,42.77,-4.92,-1.22,34.53,200.0
14.36912,42.59,-3.54,0.78,34.63,200.0
15.387976,43.45,-3.88,-0.47,34.63,200.0
16.411988,44.79,-3.09,0.36,34.73,200.0
17.429152,45.77,-1.44,2.49,34.63,200.0
18.443576,46.74,-1.11,2.59,34.82,200.0
19.457972,47.69,-1.33,1.39,34.73,200.0
20.471424,48.63,-1.01,1.29,34.82,200.0
21.487952,49.85,0.15,2.69,34.92,200.0
22.501364,50.46,-0.16,1.79,34.92,200.0
23.518596,51.5,0.98,3.28,34.92,200.0
24.533056,52.83,1.39,3.38,34.92,200.0
25.54552,53.26,1.18,2.59,35.02,200.0
26.558596,54.27,1.29,2.69,34.92,200.0
27.569976,55.26,3.19,5.31,35.22,200.0
28.582436,56.52,4.74,6.81,35.12,200.0
29.59324,57.22,4.06,5.31,35.22,200.0
30.606064,58.32,4.26,4.93,35.22,200.0
31.620316,59.13,4.54,5.02,35.22,200.0
32.633988,60.07,5.02,5.5,35.22,200.0
33.650788,61.28,5.4,5.78,35.32,200.0
34.663948,61.94,6.9,6.99,35.42,200.0
35.677116,62.73,7.55,8.55,35.51,200.0
36.689188,63.9,8.83,10.09,35.42,200.0
37.71374,64.68,7.82,7.55,35.51,200.0
38.725404,65.46,9.01,9.19,35.51,200.0
39.736772,66.61,10.53,11.24,35.71,200.0
40.763172,67.63,10.18,10.27,35.71,200.0
41.789812,68.14,9.91,8.92,35.61,200.0
42.800644,69.16,11.69,12.04,35.71,200.0
43.827052,70.17,11.95,11.6,35.71,200.0
44.850724,70.55,12.39,12.04,35.71,200.0
45.87958,71.68,13.44,13.35,35.81,200.0
46.905996,72.43,13.35,12.57,35.91,200.0
47.932884,73.05,12.74,11.6,35.91,200.0
48.959696,73.81,15.26,14.92,36.01,200.0
49.98742,75.18,15.01,14.4,36.01,200.0
51.01498,75.55,14.66,13.18,36.11,200.0
52.041076,76.3,16.13,15.35,36.21,200.0
53.068768,77.05,17.16,16.65,36.21,200.0
54.094688,78.05,15.96,13.96,36.21,200.0
55.124208,78.55,16.47,14.4,36.21,200.0
56.15146,79.42,18.2,17.34,36.41,200.0
57.178132,80.3,17.85,16.13,36.31,200.0
58.206676,80.93,17.85,15.61,36.41,200.0
59.234812,81.56,18.71,16.82,36.41,200.0
60.261336,82.31,20.52,19.4,36.41,200.0
61.291896,82.94,20.43,19.06,36.51,200.0
62.323684,83.45,20.69,19.23,36.62,200.0
63.356732,84.21,21.56,20.09,36.62,200.0
64.389632,85.09,21.9,20.26,36.62,200.0
65.424704,85.73,21.64,19.66,36.72,200.0
66.453532,86.37,22.77,20.95,36.82,200.0
67.484988,87.14,22.77,20.95,36.82,200.0
68.514812,87.27,22.51,19.75,36.92,200.0
69.543168,88.43,22.16,19.32,36.92,200.0
70.574184,88.95,22.51,19.49,36.92,200.0
71.605904,89.6,22.94,19.83,37.02,200.0
72.63814,90.12,23.38,19.92,37.22,200.0
73.668696,90.78,24.6,21.73,37.12,200.0
74.697176,91.3,25.4,23.03,37.12,200.0
75.727916,92.1,26.1,23.64,37.33,200.0
76.758036,93.3,25.93,23.21,37.22,200.0
77.7895,93.56,25.93,22.68,37.33,200.0
78.822016,93.83,26.37,23.29,37.43,200.0
79.852032,94.37,26.37,22.86,37.43,200.0
80.881144,94.91,26.19,22.42,37.53,200.0
81.910376,95.32,27.35,24.25,37.43,196.0
82.938228,96.14,28.52,25.66,37.43,188.0
83.967204,96.55,27.89,24.52,37.53,184.0
84.996332,96.97,27.71,23.82,37.63,179.0
86.019708,97.38,29.53,26.55,37.53,175.0
87.047668,97.94,28.71,25.04,37.74,169.0
88.0722,98.36,29.07,25.66,37.84,165.0
89.1017,98.78,29.71,26.55,37.74,160.0
90.12778,99.06,29.07,25.22,37.84,157.0
91.156904,99.34,29.07,24.87,37.84,154.0
92.183524,99.77,30.54,27.17,37.94,149.0
93.206288,99.91,29.34,25.04,37.94,147.0
94.232212,100.19,30.72,27.44,37.94,144.0
95.26612,100.48,30.17,26.37,38.15,140.0
96.302528,100.77,29.25,24.87,38.15,137.0
97.337352,100.91,30.26,26.02,38.15,135.0
98.338904,101.05,30.91,26.99,38.25,133.0
99.339188,101.2,31.28,27.53,38.15,131.0
100.373392,101.2,31.66,28.43,38.15,130.0
101.410448,101.34,31.1,27.62,38.36,128.0
102.445416,101.2,30.54,26.55,38.36,129.0
103.447376,101.49,29.8,25.4,38.36,125.0
104.448864,101.49,30.63,26.46,38.46,125.0
105.448968,101.34,30.91,26.82,38.46,126.0
106.486416,101.49,32.22,29.07,38.46,124.0
107.523384,101.34,31.1,27.44,38.57,124.0
108.555708,101.34,31.1,27.53,38.57,124.0
109.588972,101.49,31.0,27.35,38.57,122.0
110.624912,101.34,30.17,25.48,38.67,122.0
111.66,101.05,29.99,25.66,38.67,125.0
112.66094,101.2,30.63,26.46,38.67,123.0
113.699076,101.2,32.03,28.89,38.77,122.0
114.737,101.05,30.63,26.99,38.88,123.0
115.738932,100.77,29.8,25.4,38.88,125.0
116.741188,101.05,30.08,25.84,38.88,122.0
117.744444,100.77,31.0,27.17,38.88,124.0
118.778864,100.77,31.56,28.34,38.98,123.0
119.815696,100.62,30.72,27.17,39.09,124.0
120.852192,100.48,29.71,25.31,38.98,125.0
121.889568,100.48,30.17,26.1,39.09,125.0
122.889928,100.48,30.72,26.91,39.2,124.0
123.890592,100.19,30.72,27.17,39.2,126.0
124.926308,100.19,31.19,27.98,39.2,126.0
125.962516,100.19,30.08,26.55,39.2,125.0
126.966296,100.05,28.98,24.78,39.2,126.0
127.96932,99.91,29.99,26.1,39.2,127.0
128.997904,99.77,29.25,25.04,39.2,128.0
130.028108,99.48,29.99,26.55,39.2,130.0
131.06068,99.62,29.71,26.19,39.3,129.0
132.088384,99.48,30.72,27.44,39.51,130.0
133.115716,99.48,29.25,25.22,39.41,129.0
134.145368,99.34,28.89,24.78,39.41,130.0
135.173532,99.34,30.08,26.73,39.51,130.0
136.203112,99.48,30.54,27.26,39.51,128.0
137.232076,99.2,29.34,25.48,39.51,130.0
