time,T0,T1,T2,T3,H0
4.063724,27.81,26.99,27.71,27.26,0.0
5.069024,29.25,26.99,27.8,27.35,0.0
1.037692,28.54,27.08,27.62,27.35,0.0
2.04744,28.3,27.08,27.71,27.44,0.0
3.0542,28.78,27.17,27.71,27.44,0.0
4.056216,29.02,27.08,27.89,27.44,0.0
5.06836,29.25,27.17,27.62,27.44,200.0
6.09462,28.54,27.08,27.71,27.53,200.0
7.122456,30.87,27.53,27.62,27.44,194.0
8.145412,29.25,27.26,27.62,27.44,200.0
9.174664,29.95,27.35,27.71,27.53,200.0
10.199888,30.18,27.35,27.8,27.53,200.0
11.227612,31.54,27.26,27.62,27.53,200.0
12.256088,31.76,27.35,27.71,27.53,194.0
13.275012,33.91,27.44,27.71,27.53,172.0
14.293136,32.2,27.35,27.53,27.44,200.0
15.322304,35.34,27.35,27.71,27.53,164.0
16.343364,35.55,27.44,27.71,27.53,161.0
17.363584,36.34,27.53,27.62,27.53,154.0
18.387204,36.93,27.44,27.71,27.62,147.0
19.406264,36.93,27.44,27.71,27.62,148.0
20.42684,39.02,27.35,27.71,27.53,133.0
21.449092,39.94,27.44,27.71,27.62,120.0
22.470392,40.48,27.53,27.8,27.71,109.0
23.495832,41.37,27.53,27.71,27.62,105.0
24.517128,42.07,27.62,27.71,27.71,94.0
25.52878,44.79,27.62,27.62,27.71,70.0
26.540212,42.59,27.62,27.62,27.62,95.0
27.558292,43.11,27.62,27.71,27.8,83.0
28.569472,43.79,27.62,28.16,27.71,67.0
29.580172,44.62,27.62,27.71,27.71,71.0
30.58986,45.12,27.71,27.71,27.71,64.0
31.596404,46.1,27.62,27.71,27.71,57.0
32.607336,45.61,27.71,27.8,27.71,57.0
33.617532,46.42,27.71,27.71,27.8,49.0
34.628972,46.74,27.71,27.53,27.8,51.0
35.641972,47.06,27.8,27.71,27.8,41.0
36.65436,47.53,28.07,27.8,27.71,29.0
37.665308,48.16,27.8,27.71,27.8,30.0
38.679588,47.53,27.8,27.71,27.89,34.0
39.691988,47.22,27.8,27.8,27.89,34.0
40.707792,47.37,27.8,27.8,27.8,35.0
41.723372,47.53,27.8,27.71,27.89,34.0
42.735824,47.06,27.8,27.71,27.98,36.0
43.74918,47.69,27.89,27.98,27.89,23.0
44.765156,47.22,27.71,27.71,27.89,39.0
45.774604,47.69,27.89,27.8,28.07,22.0
46.79222,47.85,27.89,27.62,27.89,30.0
47.808376,47.53,27.89,27.71,27.98,29.0
48.818084,47.53,27.8,27.71,27.89,34.0
49.83058,47.37,27.8,27.8,27.98,30.0
50.843264,47.37,27.89,27.71,27.98,30.0
51.851952,47.22,27.98,28.07,27.98,20.0
52.868696,47.69,27.98,27.71,27.98,25.0
53.881552,47.53,27.98,27.8,27.98,24.0
54.8979,47.06,27.89,27.8,27.98,31.0
55.913048,47.53,27.98,27.89,28.07,19.0
56.927568,47.85,27.98,27.71,28.07,20.0
57.942884,47.22,28.07,27.62,28.16,24.0
58.959348,46.74,27.98,27.8,28.07,29.0
59.976376,47.06,27.98,27.8,28.07,25.0
60.994656,47.37,28.16,27.89,28.07,15.0
62.008044,47.06,28.07,27.8,28.07,23.0
63.025632,46.58,28.07,27.71,28.07,30.0
64.04252,46.74,28.07,27.8,28.16,24.0
65.058152,46.9,28.16,27.71,28.16,22.0
66.072568,46.9,27.98,27.62,28.16,29.0
67.090552,46.9,28.16,27.89,28.16,17.0
68.105804,46.26,28.25,27.89,28.16,21.0
69.122892,45.93,28.16,27.98,28.16,24.0
70.139024,46.1,28.16,27.8,28.43,20.0
71.157016,46.58,28.07,27.8,28.16,24.0
72.1748,46.58,28.16,27.71,28.25,22.0
73.192036,45.93,28.16,27.8,28.25,26.0
74.21168,45.77,28.16,27.53,28.25,35.0
75.22656,46.26,27.98,27.8,28.16,30.0
76.244304,45.61,28.16,27.53,28.25,36.0
77.260216,46.1,28.16,27.89,28.25,22.0
78.277844,45.28,28.07,27.8,28.25,35.0
79.297732,45.45,28.16,27.8,28.25,31.0
80.315696,45.12,28.16,27.8,28.25,34.0
81.33352,45.61,28.16,27.8,28.25,29.0
82.352072,45.93,28.16,27.89,28.25,24.0
83.369868,45.12,28.16,27.8,28.34,32.0
84.386556,44.79,28.16,28.16,28.16,30.0
85.401784,45.12,28.16,27.89,28.25,32.0
86.418828,44.12,28.07,27.8,28.34,44.0
87.435524,44.95,28.16,27.8,28.25,36.0
88.454652,44.29,28.07,27.8,28.25,45.0
89.473564,46.42,28.16,27.89,28.34,16.0
90.489144,44.62,28.25,27.89,28.52,27.0
91.50802,44.62,28.16,27.89,28.25,37.0
92.524468,44.12,28.16,27.8,28.43,39.0
93.54046,43.11,28.25,27.89,28.43,45.0
94.556236,44.79,28.25,27.89,28.34,31.0
95.571608,44.62,28.16,27.89,28.43,32.0
96.58824,43.95,28.16,27.89,28.43,39.0
97.605136,44.29,28.25,27.89,28.34,36.0
98.62322,43.79,28.16,27.71,28.43,46.0
99.635876,43.62,28.25,27.89,28.43,40.0
100.654924,43.79,28.16,27.8,28.43,43.0
101.670632,43.62,28.25,27.89,28.34,43.0
102.688496,43.28,28.07,27.8,28.61,46.0
103.706144,42.94,28.16,27.89,28.43,50.0
104.723848,43.62,28.25,27.8,28.43,43.0
105.742424,42.94,28.25,27.89,28.43,48.0
106.76084,42.94,28.25,28.07,28.43,43.0
107.780192,42.77,28.16,27.89,28.43,52.0
108.795288,43.11,28.25,27.89,28.43,46.0
109.810936,42.42,28.25,27.89,28.43,53.0
110.829532,42.77,27.98,27.89,28.43,57.0
111.843484,42.25,28.16,27.98,28.43,56.0
112.861476,42.59,28.25,27.89,28.34,55.0
113.8809,42.94,28.25,27.89,28.43,49.0
114.899076,42.25,28.43,27.98,28.43,49.0
115.91594,42.77,28.25,27.62,28.34,61.0
116.931796,43.28,28.25,27.98,28.52,41.0
117.95084,43.62,28.25,27.89,28.43,43.0
118.969036,42.94,28.25,27.8,28.52,50.0
119.990148,42.25,28.25,27.89,28.71,50.0
121.007612,42.59,28.25,27.98,28.52,49.0
122.02816,42.25,28.16,27.89,28.52,57.0
123.045852,41.72,28.16,27.8,28.52,65.0
124.062336,41.72,27.98,27.8,28.61,68.0
125.077632,41.02,28.25,27.8,28.34,75.0
126.095448,42.42,28.25,27.89,28.43,57.0
127.113092,43.11,28.25,27.89,28.52,48.0
128.130564,42.59,28.16,27.98,28.89,43.0
129.149288,42.77,28.25,27.8,28.61,51.0
130.165316,43.62,28.25,28.07,28.71,33.0
131.183348,42.59,28.16,27.89,28.52,55.0
132.202388,41.9,28.25,27.98,28.52,58.0
133.222836,42.94,28.25,27.89,28.52,50.0
134.243884,42.59,28.34,27.98,28.52,49.0
135.261572,41.55,28.34,27.8,28.61,62.0
136.279572,42.42,28.16,27.89,28.52,58.0
137.29806,42.42,28.34,27.89,28.52,53.0
138.317512,42.07,28.25,27.89,28.61,57.0
139.335132,42.25,28.25,27.89,28.52,58.0
140.356404,42.94,28.34,28.07,28.43,46.0
141.373212,42.42,28.25,27.89,28.52,57.0
142.392308,43.28,28.34,27.8,28.61,46.0
143.410864,41.55,28.25,27.8,28.52,68.0
144.430796,41.55,28.25,27.89,28.61,63.0
145.448848,42.25,28.16,27.89,28.61,59.0
146.466724,42.42,28.52,27.98,28.61,45.0
147.484388,42.94,28.34,27.89,28.61,47.0
148.498616,41.9,28.25,27.8,28.71,60.0
149.517256,42.42,28.16,27.89,28.52,60.0
150.536072,43.11,28.34,27.89,28.61,46.0
151.549144,41.72,28.25,27.89,28.71,60.0
152.563476,42.25,28.34,28.43,28.61,41.0
153.581036,42.94,28.25,27.89,28.61,51.0
154.598708,43.11,28.34,27.98,28.71,42.0
155.612516,43.28,28.25,27.89,28.89,40.0
156.633632,44.95,28.34,27.98,28.61,26.0
157.652348,43.11,28.16,27.98,28.52,51.0
158.667172,43.11,28.25,27.89,28.61,49.0
159.683036,42.59,28.25,27.98,28.52,54.0
160.703828,42.59,28.61,27.89,28.52,47.0
161.721576,42.42,28.34,27.89,28.61,54.0
162.737376,42.42,28.25,27.89,28.61,56.0
163.75652,42.42,28.25,27.8,28.61,59.0
164.77592,42.07,28.34,27.89,28.52,60.0
165.795904,42.59,28.25,27.89,28.71,53.0
166.812192,41.72,28.16,27.89,28.71,64.0
167.825684,42.59,28.25,27.98,28.61,53.0
168.843244,42.94,28.34,27.98,28.71,45.0
169.859704,45.12,28.34,27.8,28.89,23.0
170.878928,43.11,28.34,27.89,28.71,45.0
171.892124,42.94,28.25,27.89,28.52,54.0
172.912092,42.25,28.34,27.98,29.07,42.0
173.931024,42.77,28.34,27.98,28.61,49.0
174.947052,42.25,28.25,27.89,28.61,59.0
175.966868,42.94,28.34,27.98,28.61,48.0
176.98514,42.94,28.34,27.98,28.61,48.0
178.003456,42.77,28.43,27.89,28.71,47.0
179.01648,42.25,28.43,27.98,28.71,50.0
180.033848,42.42,28.43,28.16,28.71,43.0
181.049924,42.07,28.43,27.98,28.61,54.0
182.067516,42.42,28.34,28.07,28.61,51.0
183.084804,42.77,28.34,27.8,28.8,50.0
184.103664,41.72,28.71,28.16,28.71,43.0
185.113244,42.59,28.61,27.98,28.8,39.0
186.133192,43.45,28.34,27.98,28.71,41.0
187.14802,42.77,28.34,27.98,28.71,47.0
188.161076,41.55,28.34,27.89,28.89,57.0
189.177916,42.25,28.25,27.89,28.71,58.0
190.194844,42.77,28.34,27.98,28.71,48.0
191.209372,42.59,28.34,27.89,28.52,57.0
192.228408,41.9,28.34,27.98,28.61,59.0
193.246708,41.72,28.34,27.98,28.8,56.0
194.26384,42.07,28.43,27.98,28.71,53.0
195.279256,42.25,28.43,28.25,28.71,44.0
196.297404,41.55,28.25,27.8,28.71,68.0
197.315384,41.72,28.34,27.89,28.61,64.0
198.328796,42.59,28.34,27.98,28.71,50.0
199.347028,41.72,28.34,28.07,28.71,57.0
200.360156,42.25,28.43,27.89,28.71,54.0
201.37734,42.42,28.34,27.98,28.71,52.0
202.394344,41.55,28.16,27.89,28.8,66.0
203.41162,42.07,28.34,27.98,28.71,56.0
204.42836,40.84,28.25,27.98,28.71,71.0
205.444908,41.72,28.43,27.98,28.71,58.0
206.458944,41.9,28.16,27.98,28.8,61.0
207.475932,42.07,28.25,27.98,28.61,62.0
208.49276,42.25,28.25,27.98,28.8,55.0
209.514968,43.62,28.34,27.8,28.8,44.0
210.534248,42.07,28.43,27.98,28.71,55.0
